fabricante,categoria,segmento,produto,id_produto,id_fabricante
VanArsdel,Urban,Convenience,Maximus UC-70,605,7
VanArsdel,Urban,Convenience,Maximus UC-71,606,7
VanArsdel,Urban,Convenience,Maximus UC-72,607,7
VanArsdel,Urban,Convenience,Maximus UC-73,608,7
VanArsdel,Urban,Convenience,Maximus UC-74,609,7
VanArsdel,Urban,Convenience,Maximus UC-75,610,7
VanArsdel,Urban,Convenience,Maximus UC-76,611,7
VanArsdel,Urban,Convenience,Maximus UC-77,612,7
VanArsdel,Urban,Convenience,Maximus UC-78,613,7
VanArsdel,Urban,Convenience,Maximus UC-79,614,7
VanArsdel,Urban,Convenience,Maximus UC-80,615,7
VanArsdel,Urban,Convenience,Maximus UC-81,616,7
VanArsdel,Urban,Convenience,Maximus UC-82,617,7
VanArsdel,Urban,Convenience,Maximus UC-83,618,7
VanArsdel,Urban,Convenience,Maximus UC-84,619,7
VanArsdel,Urban,Convenience,Maximus UC-85,620,7
VanArsdel,Urban,Convenience,Maximus UC-86,621,7
VanArsdel,Urban,Convenience,Maximus UC-87,622,7
VanArsdel,Urban,Convenience,Maximus UC-88,623,7
VanArsdel,Urban,Convenience,Maximus UC-89,624,7
VanArsdel,Urban,Convenience,Maximus UC-90,625,7
VanArsdel,Urban,Convenience,Maximus UC-91,626,7
VanArsdel,Urban,Convenience,Maximus UC-92,627,7
VanArsdel,Urban,Convenience,Maximus UC-93,628,7
VanArsdel,Urban,Convenience,Maximus UC-94,629,7
VanArsdel,Urban,Convenience,Maximus UC-95,630,7
VanArsdel,Urban,Convenience,Maximus UC-96,631,7
VanArsdel,Urban,Convenience,Maximus UC-97,632,7
VanArsdel,Urban,Convenience,Maximus UC-98,633,7
VanArsdel,Urban,Convenience,Maximus UC-99,634,7
VanArsdel,Urban,Convenience,Maximus UC-00,635,7
VanArsdel,Urban,Convenience,Maximus UC-01,636,7
VanArsdel,Urban,Convenience,Maximus UC-02,637,7
VanArsdel,Urban,Convenience,Maximus UC-03,638,7
VanArsdel,Urban,Convenience,Maximus UC-04,639,7
VanArsdel,Urban,Convenience,Maximus UC-05,640,7
VanArsdel,Urban,Convenience,Maximus UC-06,641,7
VanArsdel,Urban,Convenience,Maximus UC-07,642,7
VanArsdel,Urban,Convenience,Maximus UC-08,643,7
VanArsdel,Urban,Convenience,Maximus UC-09,644,7
VanArsdel,Urban,Convenience,Maximus UC-10,645,7
VanArsdel,Urban,Convenience,Maximus UC-11,646,7
VanArsdel,Urban,Convenience,Maximus UC-12,647,7
VanArsdel,Urban,Convenience,Maximus UC-13,648,7
VanArsdel,Urban,Convenience,Maximus UC-14,649,7
VanArsdel,Urban,Convenience,Maximus UC-15,650,7
VanArsdel,Urban,Convenience,Maximus UC-16,651,7
VanArsdel,Urban,Convenience,Maximus UC-17,652,7
VanArsdel,Urban,Convenience,Maximus UC-18,653,7
VanArsdel,Urban,Convenience,Maximus UC-19,654,7
VanArsdel,Urban,Convenience,Maximus UC-20,655,7
VanArsdel,Urban,Convenience,Maximus UC-21,656,7
VanArsdel,Urban,Convenience,Maximus UC-22,657,7
VanArsdel,Urban,Convenience,Maximus UC-23,658,7
VanArsdel,Urban,Convenience,Maximus UC-24,659,7
VanArsdel,Urban,Convenience,Maximus UC-25,660,7
VanArsdel,Urban,Convenience,Maximus UC-26,661,7
VanArsdel,Urban,Convenience,Maximus UC-27,662,7
VanArsdel,Urban,Convenience,Maximus UC-28,663,7
VanArsdel,Urban,Convenience,Maximus UC-29,664,7
VanArsdel,Urban,Convenience,Maximus UC-30,665,7
VanArsdel,Urban,Convenience,Maximus UC-31,666,7
VanArsdel,Urban,Convenience,Maximus UC-32,667,7
VanArsdel,Urban,Convenience,Maximus UC-33,668,7
VanArsdel,Urban,Convenience,Maximus UC-34,669,7
VanArsdel,Urban,Convenience,Maximus UC-35,670,7
VanArsdel,Urban,Convenience,Maximus UC-36,671,7
VanArsdel,Urban,Convenience,Maximus UC-37,672,7
VanArsdel,Urban,Convenience,Maximus UC-38,673,7
VanArsdel,Urban,Convenience,Maximus UC-39,674,7
VanArsdel,Urban,Convenience,Maximus UC-40,675,7
VanArsdel,Urban,Convenience,Maximus UC-41,676,7
VanArsdel,Urban,Convenience,Maximus UC-42,677,7
VanArsdel,Urban,Convenience,Maximus UC-43,678,7
VanArsdel,Urban,Convenience,Maximus UC-44,679,7
VanArsdel,Urban,Convenience,Maximus UC-45,680,7
VanArsdel,Urban,Convenience,Maximus UC-46,681,7
VanArsdel,Urban,Convenience,Maximus UC-47,682,7
VanArsdel,Urban,Convenience,Maximus UC-48,683,7
VanArsdel,Urban,Convenience,Maximus UC-49,684,7
VanArsdel,Urban,Convenience,Maximus UC-50,685,7
VanArsdel,Urban,Convenience,Maximus UC-51,686,7
VanArsdel,Urban,Convenience,Maximus UC-52,687,7
VanArsdel,Urban,Convenience,Maximus UC-53,688,7
VanArsdel,Urban,Convenience,Maximus UC-54,689,7
VanArsdel,Urban,Convenience,Maximus UC-55,690,7
VanArsdel,Urban,Convenience,Maximus UC-56,691,7
VanArsdel,Urban,Convenience,Maximus UC-57,692,7
VanArsdel,Urban,Convenience,Maximus UC-58,693,7
Abbas,Urban,Convenience,Abbas UC-01,189,1
Abbas,Urban,Convenience,Abbas UC-02,190,1
Abbas,Urban,Convenience,Abbas UC-03,191,1
Abbas,Urban,Convenience,Abbas UC-04,192,1
Abbas,Urban,Convenience,Abbas UC-05,193,1
Abbas,Urban,Convenience,Abbas UC-06,194,1
Abbas,Urban,Convenience,Abbas UC-07,195,1
Abbas,Urban,Convenience,Abbas UC-08,196,1
Fama,Urban,Convenience,Fama UC-01,387,5
Fama,Urban,Convenience,Fama UC-02,388,5
Fama,Urban,Convenience,Fama UC-03,389,5
Fama,Urban,Convenience,Fama UC-04,390,5
Fama,Urban,Convenience,Fama UC-05,391,5
Natura,Urban,Convenience,Natura UC-01,938,8
Natura,Urban,Convenience,Natura UC-02,939,8
Natura,Urban,Convenience,Natura UC-03,940,8
Natura,Urban,Convenience,Natura UC-04,941,8
Natura,Urban,Convenience,Natura UC-05,942,8
Natura,Urban,Convenience,Natura UC-06,943,8
Natura,Urban,Convenience,Natura UC-07,944,8
Natura,Urban,Convenience,Natura UC-08,945,8
Natura,Urban,Convenience,Natura UC-09,946,8
Natura,Urban,Convenience,Natura UC-10,947,8
Natura,Urban,Convenience,Natura UC-11,948,8
Natura,Urban,Convenience,Natura UC-12,949,8
Natura,Urban,Convenience,Natura UC-13,950,8
Natura,Urban,Convenience,Natura UC-14,951,8
Natura,Urban,Convenience,Natura UC-15,952,8
Natura,Urban,Convenience,Natura UC-16,953,8
Natura,Urban,Convenience,Natura UC-17,954,8
Natura,Urban,Convenience,Natura UC-18,955,8
Natura,Urban,Convenience,Natura UC-19,956,8
Natura,Urban,Convenience,Natura UC-20,957,8
Natura,Urban,Convenience,Natura UC-21,958,8
Natura,Urban,Convenience,Natura UC-22,959,8
Natura,Urban,Convenience,Natura UC-23,960,8
Natura,Urban,Convenience,Natura UC-24,961,8
Natura,Urban,Convenience,Natura UC-25,962,8
Natura,Urban,Convenience,Natura UC-26,963,8
Natura,Urban,Convenience,Natura UC-27,964,8
Natura,Urban,Convenience,Natura UC-28,965,8
Natura,Urban,Convenience,Natura UC-29,966,8
Natura,Urban,Convenience,Natura UC-30,967,8
Natura,Urban,Convenience,Natura UC-31,968,8
Natura,Urban,Convenience,Natura UC-32,969,8
Natura,Urban,Convenience,Natura UC-33,970,8
Natura,Urban,Convenience,Natura UC-34,971,8
Natura,Urban,Convenience,Natura UC-35,972,8
Natura,Urban,Convenience,Natura UC-36,973,8
Natura,Urban,Convenience,Natura UC-37,974,8
Natura,Urban,Convenience,Natura UC-38,975,8
Natura,Urban,Convenience,Natura UC-39,976,8
Natura,Urban,Convenience,Natura UC-40,977,8
Natura,Urban,Convenience,Natura UC-41,978,8
Natura,Urban,Convenience,Natura UC-42,979,8
Natura,Urban,Convenience,Natura UC-43,980,8
Natura,Urban,Convenience,Natura UC-44,981,8
Natura,Urban,Convenience,Natura UC-45,982,8
Natura,Urban,Convenience,Natura UC-46,983,8
Natura,Urban,Convenience,Natura UC-47,984,8
Natura,Urban,Convenience,Natura UC-48,985,8
Natura,Urban,Convenience,Natura UC-49,986,8
Natura,Urban,Convenience,Natura UC-50,987,8
Natura,Urban,Convenience,Natura UC-51,988,8
Natura,Urban,Convenience,Natura UC-52,989,8
Natura,Urban,Convenience,Natura UC-53,990,8
Natura,Urban,Convenience,Natura UC-54,991,8
Natura,Urban,Convenience,Natura UC-55,992,8
Natura,Urban,Convenience,Natura UC-56,993,8
Natura,Urban,Convenience,Natura UC-57,994,8
Natura,Urban,Convenience,Natura UC-58,995,8
Natura,Urban,Convenience,Natura UC-59,996,8
Natura,Urban,Convenience,Natura UC-60,997,8
Natura,Urban,Convenience,Natura UC-61,998,8
Natura,Urban,Convenience,Natura UC-62,999,8
Palma,Urban,Convenience,Palma UC-01,1029,9
Palma,Urban,Convenience,Palma UC-02,1030,9
Palma,Urban,Convenience,Palma UC-03,1031,9
Palma,Urban,Convenience,Palma UC-04,1032,9
Palma,Urban,Convenience,Palma UC-05,1033,9
Palma,Urban,Convenience,Palma UC-06,1034,9
Palma,Urban,Convenience,Palma UC-07,1035,9
Palma,Urban,Convenience,Palma UC-08,1036,9
Palma,Urban,Convenience,Palma UC-09,1037,9
Palma,Urban,Convenience,Palma UC-10,1038,9
Palma,Urban,Convenience,Palma UC-11,1039,9
Palma,Urban,Convenience,Palma UC-12,1040,9
Palma,Urban,Convenience,Palma UC-13,1041,9
Palma,Urban,Convenience,Palma UC-14,1042,9
Pirum,Urban,Convenience,Pirum UC-01,1199,10
Pirum,Urban,Convenience,Pirum UC-02,1200,10
Pirum,Urban,Convenience,Pirum UC-03,1201,10
Pirum,Urban,Convenience,Pirum UC-04,1202,10
Pirum,Urban,Convenience,Pirum UC-05,1203,10
Pirum,Urban,Convenience,Pirum UC-06,1204,10
Pirum,Urban,Convenience,Pirum UC-07,1205,10
Pirum,Urban,Convenience,Pirum UC-08,1206,10
Pirum,Urban,Convenience,Pirum UC-09,1207,10
Pirum,Urban,Convenience,Pirum UC-10,1208,10
Pirum,Urban,Convenience,Pirum UC-11,1209,10
Pirum,Urban,Convenience,Pirum UC-12,1210,10
Pirum,Urban,Convenience,Pirum UC-13,1211,10
Pirum,Urban,Convenience,Pirum UC-14,1212,10
Pirum,Urban,Convenience,Pirum UC-15,1213,10
Pirum,Urban,Convenience,Pirum UC-16,1214,10
Pirum,Urban,Convenience,Pirum UC-17,1215,10
Pirum,Urban,Convenience,Pirum UC-18,1216,10
Pirum,Urban,Convenience,Pirum UC-19,1217,10
Pirum,Urban,Convenience,Pirum UC-20,1218,10
Pirum,Urban,Convenience,Pirum UC-21,1219,10
Pirum,Urban,Convenience,Pirum UC-22,1220,10
Pirum,Urban,Convenience,Pirum UC-23,1221,10
Pirum,Urban,Convenience,Pirum UC-24,1222,10
Pirum,Urban,Convenience,Pirum UC-25,1223,10
Pirum,Urban,Convenience,Pirum UC-26,1224,10
Pirum,Urban,Convenience,Pirum UC-27,1225,10
Pirum,Urban,Convenience,Pirum UC-28,1226,10
Pirum,Urban,Convenience,Pirum UC-29,1227,10
Pirum,Urban,Convenience,Pirum UC-30,1228,10
Pirum,Urban,Convenience,Pirum UC-31,1229,10
Pirum,Urban,Convenience,Pirum UC-32,1230,10
Pirum,Urban,Convenience,Pirum UC-33,1231,10
Pirum,Urban,Convenience,Pirum UC-34,1232,10
Salvus,Urban,Convenience,Salvus UC-01,1689,13
Pomum,Urban,Convenience,Pomum UC-01,1795,11
Pomum,Urban,Convenience,Pomum UC-02,1796,11
Pomum,Urban,Convenience,Pomum UC-03,1797,11
Pomum,Urban,Convenience,Pomum UC-04,1798,11
Pomum,Urban,Convenience,Pomum UC-05,1799,11
Pomum,Urban,Convenience,Pomum UC-06,1800,11
Pomum,Urban,Convenience,Pomum UC-07,1801,11
Pomum,Urban,Convenience,Pomum UC-08,1802,11
Pomum,Urban,Convenience,Pomum UC-09,1803,11
Pomum,Urban,Convenience,Pomum UC-10,1804,11
Pomum,Urban,Convenience,Pomum UC-11,1805,11
Leo,Urban,Convenience,Leo UC-01,1882,6
Leo,Urban,Convenience,Leo UC-02,1883,6
Leo,Urban,Convenience,Leo UC-03,1884,6
Leo,Urban,Convenience,Leo UC-04,1885,6
Leo,Urban,Convenience,Leo UC-05,1886,6
Leo,Urban,Convenience,Leo UC-06,1887,6
Leo,Urban,Convenience,Leo UC-07,1888,6
Leo,Urban,Convenience,Leo UC-08,1889,6
Leo,Urban,Convenience,Leo UC-09,1890,6
Leo,Urban,Convenience,Leo UC-10,1891,6
Leo,Urban,Convenience,Leo UC-11,1892,6
Leo,Urban,Convenience,Leo UC-12,1893,6
Leo,Urban,Convenience,Leo UC-13,1894,6
Leo,Urban,Convenience,Leo UC-14,1895,6
Leo,Urban,Convenience,Leo UC-15,1896,6
Leo,Urban,Convenience,Leo UC-16,1897,6
Leo,Urban,Convenience,Leo UC-17,1898,6
Leo,Urban,Convenience,Leo UC-18,1899,6
Leo,Urban,Convenience,Leo UC-19,1900,6
Leo,Urban,Convenience,Leo UC-20,1901,6
Leo,Urban,Convenience,Leo UC-21,1902,6
Leo,Urban,Convenience,Leo UC-22,1903,6
Leo,Urban,Convenience,Leo UC-23,1904,6
Leo,Urban,Convenience,Leo UC-24,1905,6
Leo,Urban,Convenience,Leo UC-25,1906,6
Leo,Urban,Convenience,Leo UC-26,1907,6
Currus,Urban,Convenience,Currus UC-01,2066,4
Currus,Urban,Convenience,Currus UC-02,2067,4
Currus,Urban,Convenience,Currus UC-03,2068,4
Currus,Urban,Convenience,Currus UC-04,2069,4
Currus,Urban,Convenience,Currus UC-05,2070,4
Currus,Urban,Convenience,Currus UC-06,2071,4
Currus,Urban,Convenience,Currus UC-07,2072,4
Currus,Urban,Convenience,Currus UC-08,2073,4
Currus,Urban,Convenience,Currus UC-09,2074,4
Currus,Urban,Convenience,Currus UC-10,2075,4
Currus,Urban,Convenience,Currus UC-11,2076,4
Currus,Urban,Convenience,Currus UC-12,2077,4
Currus,Urban,Convenience,Currus UC-13,2078,4
Currus,Urban,Convenience,Currus UC-14,2079,4
Currus,Urban,Convenience,Currus UC-15,2080,4
Currus,Urban,Convenience,Currus UC-16,2081,4
Currus,Urban,Convenience,Currus UC-17,2082,4
Currus,Urban,Convenience,Currus UC-18,2083,4
Currus,Urban,Convenience,Currus UC-19,2084,4
Currus,Urban,Convenience,Currus UC-20,2085,4
Currus,Urban,Convenience,Currus UC-21,2086,4
Currus,Urban,Convenience,Currus UC-22,2087,4
Currus,Urban,Convenience,Currus UC-23,2088,4
Currus,Urban,Convenience,Currus UC-24,2089,4
Currus,Urban,Convenience,Currus UC-25,2090,4
Currus,Urban,Convenience,Currus UC-26,2091,4
Currus,Urban,Convenience,Currus UC-27,2092,4
Currus,Urban,Convenience,Currus UC-28,2093,4
Currus,Urban,Convenience,Currus UC-29,2094,4
Currus,Urban,Convenience,Currus UC-30,2095,4
Currus,Urban,Convenience,Currus UC-31,2096,4
Victoria,Urban,Convenience,Victoria UC-01,2171,14
Victoria,Urban,Convenience,Victoria UC-02,2172,14
Victoria,Urban,Convenience,Victoria UC-03,2173,14
Victoria,Urban,Convenience,Victoria UC-04,2174,14
Victoria,Urban,Convenience,Victoria UC-05,2175,14
Victoria,Urban,Convenience,Victoria UC-06,2176,14
Victoria,Urban,Convenience,Victoria UC-07,2177,14
Victoria,Urban,Convenience,Victoria UC-08,2178,14
Victoria,Urban,Convenience,Victoria UC-09,2179,14
Victoria,Urban,Convenience,Victoria UC-10,2180,14
Victoria,Urban,Convenience,Victoria UC-11,2181,14
Victoria,Urban,Convenience,Victoria UC-12,2182,14
Victoria,Urban,Convenience,Victoria UC-13,2183,14
Victoria,Urban,Convenience,Victoria UC-14,2184,14
Victoria,Urban,Convenience,Victoria UC-15,2185,14
Victoria,Urban,Convenience,Victoria UC-16,2186,14
Aliqui,Urban,Convenience,Aliqui UC-01,2353,2
Aliqui,Urban,Convenience,Aliqui UC-02,2354,2
Aliqui,Urban,Convenience,Aliqui UC-03,2355,2
Aliqui,Urban,Convenience,Aliqui UC-04,2356,2
Aliqui,Urban,Convenience,Aliqui UC-05,2357,2
Aliqui,Urban,Convenience,Aliqui UC-06,2358,2
Aliqui,Urban,Convenience,Aliqui UC-07,2359,2
Aliqui,Urban,Convenience,Aliqui UC-08,2360,2
Aliqui,Urban,Convenience,Aliqui UC-09,2361,2
Aliqui,Urban,Convenience,Aliqui UC-10,2362,2
Aliqui,Urban,Convenience,Aliqui UC-11,2363,2
Aliqui,Urban,Convenience,Aliqui UC-12,2364,2
Aliqui,Urban,Convenience,Aliqui UC-13,2365,2
Aliqui,Urban,Convenience,Aliqui UC-14,2366,2
Aliqui,Urban,Convenience,Aliqui UC-15,2367,2
Aliqui,Urban,Convenience,Aliqui UC-16,2368,2
Aliqui,Urban,Convenience,Aliqui UC-17,2369,2
Aliqui,Urban,Convenience,Aliqui UC-18,2370,2
Aliqui,Urban,Convenience,Aliqui UC-19,2371,2
Aliqui,Urban,Convenience,Aliqui UC-20,2372,2
Aliqui,Urban,Convenience,Aliqui UC-21,2373,2
Aliqui,Urban,Convenience,Aliqui UC-22,2374,2
Aliqui,Urban,Convenience,Aliqui UC-23,2375,2
Aliqui,Urban,Convenience,Aliqui UC-24,2376,2
Aliqui,Urban,Convenience,Aliqui UC-25,2377,2
Aliqui,Urban,Convenience,Aliqui UC-26,2378,2
Aliqui,Urban,Convenience,Aliqui UC-27,2379,2
Aliqui,Urban,Convenience,Aliqui UC-28,2380,2
Aliqui,Urban,Convenience,Aliqui UC-29,2381,2
Aliqui,Urban,Convenience,Aliqui UC-30,2382,2
Aliqui,Urban,Convenience,Aliqui UC-31,2383,2
Aliqui,Urban,Convenience,Aliqui UC-32,2384,2
Aliqui,Urban,Convenience,Aliqui UC-33,2385,2
Aliqui,Urban,Convenience,Aliqui UC-34,2386,2
Aliqui,Urban,Convenience,Aliqui UC-35,2387,2
Aliqui,Urban,Convenience,Aliqui UC-36,2388,2
Aliqui,Urban,Convenience,Aliqui UC-37,2389,2
Aliqui,Urban,Convenience,Aliqui UC-38,2390,2
Aliqui,Urban,Convenience,Aliqui UC-39,2391,2
Abbas,Urban,Extreme,Abbas UE-01,173,1
Abbas,Urban,Extreme,Abbas UE-02,174,1
Abbas,Urban,Extreme,Abbas UE-03,175,1
Abbas,Urban,Extreme,Abbas UE-04,176,1
Abbas,Urban,Extreme,Abbas UE-05,177,1
Abbas,Urban,Extreme,Abbas UE-06,178,1
Abbas,Urban,Extreme,Abbas UE-07,179,1
Abbas,Urban,Extreme,Abbas UE-08,180,1
Abbas,Urban,Extreme,Abbas UE-09,181,1
Abbas,Urban,Extreme,Abbas UE-10,182,1
Abbas,Urban,Extreme,Abbas UE-11,183,1
Abbas,Urban,Extreme,Abbas UE-12,184,1
Abbas,Urban,Extreme,Abbas UE-13,185,1
Abbas,Urban,Extreme,Abbas UE-14,186,1
Abbas,Urban,Extreme,Abbas UE-15,187,1
Abbas,Urban,Extreme,Abbas UE-16,188,1
VanArsdel,Urban,Extreme,Maximus UE-01,513,7
VanArsdel,Urban,Extreme,Maximus UE-02,514,7
VanArsdel,Urban,Extreme,Maximus UE-03,515,7
VanArsdel,Urban,Extreme,Maximus UE-04,516,7
VanArsdel,Urban,Extreme,Maximus UE-05,517,7
VanArsdel,Urban,Extreme,Maximus UE-06,518,7
VanArsdel,Urban,Extreme,Maximus UE-07,519,7
VanArsdel,Urban,Extreme,Maximus UE-08,520,7
VanArsdel,Urban,Extreme,Maximus UE-09,521,7
VanArsdel,Urban,Extreme,Maximus UE-10,522,7
VanArsdel,Urban,Extreme,Maximus UE-11,523,7
VanArsdel,Urban,Extreme,Maximus UE-12,524,7
VanArsdel,Urban,Extreme,Maximus UE-13,525,7
VanArsdel,Urban,Extreme,Maximus UE-14,526,7
VanArsdel,Urban,Extreme,Maximus UE-15,527,7
VanArsdel,Urban,Extreme,Maximus UE-16,528,7
VanArsdel,Urban,Extreme,Maximus UE-17,529,7
VanArsdel,Urban,Extreme,Maximus UE-18,530,7
VanArsdel,Urban,Extreme,Maximus UE-19,531,7
VanArsdel,Urban,Extreme,Maximus UE-20,532,7
VanArsdel,Urban,Extreme,Maximus UE-21,533,7
VanArsdel,Urban,Extreme,Maximus UE-22,534,7
VanArsdel,Urban,Extreme,Maximus UE-23,535,7
Natura,Urban,Extreme,Natura UE-01,892,8
Natura,Urban,Extreme,Natura UE-02,893,8
Natura,Urban,Extreme,Natura UE-03,894,8
Natura,Urban,Extreme,Natura UE-04,895,8
Natura,Urban,Extreme,Natura UE-05,896,8
Natura,Urban,Extreme,Natura UE-06,897,8
Natura,Urban,Extreme,Natura UE-07,898,8
Natura,Urban,Extreme,Natura UE-08,899,8
Natura,Urban,Extreme,Natura UE-09,900,8
Natura,Urban,Extreme,Natura UE-10,901,8
Natura,Urban,Extreme,Natura UE-11,902,8
Natura,Urban,Extreme,Natura UE-12,903,8
Natura,Urban,Extreme,Natura UE-13,904,8
Natura,Urban,Extreme,Natura UE-14,905,8
Natura,Urban,Extreme,Natura UE-15,906,8
Natura,Urban,Extreme,Natura UE-16,907,8
Natura,Urban,Extreme,Natura UE-17,908,8
Natura,Urban,Extreme,Natura UE-18,909,8
Natura,Urban,Extreme,Natura UE-19,910,8
Natura,Urban,Extreme,Natura UE-20,911,8
Natura,Urban,Extreme,Natura UE-21,912,8
Natura,Urban,Extreme,Natura UE-22,913,8
Natura,Urban,Extreme,Natura UE-23,914,8
Natura,Urban,Extreme,Natura UE-24,915,8
Natura,Urban,Extreme,Natura UE-25,916,8
Natura,Urban,Extreme,Natura UE-26,917,8
Natura,Urban,Extreme,Natura UE-27,918,8
Natura,Urban,Extreme,Natura UE-28,919,8
Natura,Urban,Extreme,Natura UE-29,920,8
Natura,Urban,Extreme,Natura UE-30,921,8
Natura,Urban,Extreme,Natura UE-31,922,8
Natura,Urban,Extreme,Natura UE-32,923,8
Natura,Urban,Extreme,Natura UE-33,924,8
Natura,Urban,Extreme,Natura UE-34,925,8
Natura,Urban,Extreme,Natura UE-35,926,8
Natura,Urban,Extreme,Natura UE-36,927,8
Natura,Urban,Extreme,Natura UE-37,928,8
Natura,Urban,Extreme,Natura UE-38,929,8
Natura,Urban,Extreme,Natura UE-39,930,8
Natura,Urban,Extreme,Natura UE-40,931,8
Natura,Urban,Extreme,Natura UE-41,932,8
Natura,Urban,Extreme,Natura UE-42,933,8
Natura,Urban,Extreme,Natura UE-43,934,8
Natura,Urban,Extreme,Natura UE-44,935,8
Natura,Urban,Extreme,Natura UE-45,936,8
Natura,Urban,Extreme,Natura UE-46,937,8
Pirum,Urban,Extreme,Pirum UE-01,1165,10
Pirum,Urban,Extreme,Pirum UE-02,1166,10
Pirum,Urban,Extreme,Pirum UE-03,1167,10
Pirum,Urban,Extreme,Pirum UE-04,1168,10
Pirum,Urban,Extreme,Pirum UE-05,1169,10
Pirum,Urban,Extreme,Pirum UE-06,1170,10
Pirum,Urban,Extreme,Pirum UE-07,1171,10
Pirum,Urban,Extreme,Pirum UE-08,1172,10
Pirum,Urban,Extreme,Pirum UE-09,1173,10
Pirum,Urban,Extreme,Pirum UE-10,1174,10
Pirum,Urban,Extreme,Pirum UE-11,1175,10
Pirum,Urban,Extreme,Pirum UE-12,1176,10
Pirum,Urban,Extreme,Pirum UE-13,1177,10
Pirum,Urban,Extreme,Pirum UE-14,1178,10
Pirum,Urban,Extreme,Pirum UE-15,1179,10
Pirum,Urban,Extreme,Pirum UE-16,1180,10
